Hour,Total,Straight,LeftTurn,RightTurn,UTurn,Timestamp
15:00,202,99,0,10,0,2025-09-09 15:29
2025-09-19 05:50:07,23,11,0,1,0,11,9,19,1
2025-09-19 05:50:08,26,13,0,1,0,12,9,20,2
2025-09-19 05:50:10,28,13,0,1,0,14,10,22,2
2025-09-19 05:50:11,30,15,0,1,0,14,11,23,3
2025-09-19 05:50:13,33,16,0,3,0,14,11,24,3
2025-09-19 05:51:18,0,0,0,0,0,0,1,2,1
2025-09-19 05:51:19,1,1,0,0,0,0,1,2,1
2025-09-19 05:51:20,2,2,0,0,0,0,1,2,1
2025-09-19 05:51:21,5,5,0,0,0,0,1,4,1
2025-09-19 05:51:22,8,6,0,0,0,2,2,6,1
2025-09-19 05:51:22,13,7,0,0,0,6,6,7,1
2025-09-19 05:51:23,14,8,0,0,0,6,6,7,1
2025-09-19 05:51:24,14,8,0,0,0,6,6,7,1
2025-09-19 05:51:25,14,8,0,0,0,6,6,8,1
2025-09-19 05:51:26,18,11,0,0,0,7,7,11,2
2025-09-19 05:51:27,26,15,0,0,0,11,8,17,2
2025-09-19 06:06:16,0,0,0,0,0,0,1,2,1
2025-09-19 06:06:17,1,1,0,0,0,0,1,2,1
2025-09-19 06:06:18,2,2,0,0,0,0,1,2,1
2025-09-19 06:06:19,5,5,0,0,0,0,1,4,1
2025-09-19 06:06:20,8,6,0,0,0,2,2,6,1
2025-09-19 06:06:21,13,7,0,0,0,6,6,7,1
2025-09-19 06:06:22,14,8,0,0,0,6,6,7,1
2025-09-19 06:06:23,14,8,0,0,0,6,6,7,1
2025-09-19 06:06:24,14,8,0,0,0,6,6,8,1
2025-09-19 06:06:25,18,11,0,0,0,7,7,11,2
2025-09-19 06:06:25,26,15,0,0,0,11,8,17,2
